track_id,track_popularity,track_artist,playlist_genre
5mYNWSc1AE7pWS3Ax4e8Dl,61,Ellie Goulding,pop
6SRWhUJcD2YKahCwHavz3X,76,Alan Walker,pop
7Feaw9WAEREY0DUOSXJLOM,83,Martin Garrix,pop
7K7MUBCnzgBAvMVW2RTWNs,63,Loud Luxury,pop
47dABAPyBgKB3iQCrC4Vrv,70,Cheat Codes,pop
6vRCKJDtnrJEcyyzIMa0w0,70,Dennis Lloyd,pop
4BM4ml3TgBFALLaCaJtVhi,56,Klingande,pop
4D3o6Hh3GydRpTTlyLP3D9,65,Hot Shade,pop
3R6dPfF2yBO8mHySW1XDAa,61,Martin Jensen,pop
164C9bSF4ryqWXI4XgxTE0,60,Davai,pop
4fC6tDEFmSBBCRBUOPeQ8b,63,Kygo,pop
7lPo7aUbqNz5qmcan9Oj3F,54,Loud Luxury,pop
1HvCFAUIWQsWV9zud3UhDl,70,Alan Walker,pop
76WNl0hDHHxTUhfLrEIBSm,6,Avicii,pop
6xTU6B6nFwKKTSZ9ySXS80,70,Kygo,pop
0jvqmWRCyv7xnxqrtinbHJ,54,Axel Johansson,pop
5itOtNx0WxtJmi1TQ3RuRd,83,Calvin Harris,pop
1uuUnsWpJwqBh5GRQ8uxla,53,Ed Sheeran,pop
4DfxFGwreu9BquiLRClwh8,55,John De Sohn,pop
6Pgkp4qUoTmJIPn7ReaGxL,81,Avicii,pop
3R8lr1Y1kPgXEbnXkcMMlT,58,Starley,pop
4ESPuOrSsRcBISzcMlzmY5,75,Chico Rose,pop
0Zbbxnx4SGGHoIow4PpISP,73,Kygo,pop
72gv4zhNvRVdQA0eOenCal,73,Clean Bandit,pop
2kLf4myxQME1Nd0voeKZri,57,Mike Perry,pop
4q8PHoRsPUB52LFylX8Ulz,25,Axwell /\ Ingrosso,pop
2devxXJUTEIFmgt8cXaqmO,55,Steff da Campo,pop
0ct6r3EGTcMLPtrXHDvVjc,80,Avicii,pop
7dOeiXeTSfA1ixaYmQcWu7,69,OneRepublic,pop
7jEyX4bqaCSdMN4D4JNnVj,74,Jonas Blue,pop
6ULQ6ZRc7JuVutRMy6gfgc,65,Felix Jaehn,pop
0FlnsBDwPglenLJoQjPd4K,50,Dua Lipa,pop
4Vbz3osCh6DwHYv5gVv5H2,66,Jax Jones,pop
4OgwXdylh75fHfwUzJTUqg,71,Ilkay Sencan,pop
4kWO6O1BUXcZmaxitpVUwp,79,Tiësto,pop
0A5gdlrpAuQqZ2iFgnqBFW,76,Gaullin,pop
0BiGd2FNDQ0eh79ZHfp6tS,55,Martin Jensen,pop
25sgk305KZfyuqVBQIahim,87,Ava Max,pop
3xE7LrW7P54CYNQYqLhl6J,35,Lost Frequencies,pop
4ut5G4rgB1ClpMTMfjoIuy,77,Martin Garrix,pop
0uUNN1nSoUx1A4fkDCWDQ7,83,Ava Max,pop
1byydVLDAt7An5Pk3SuL5j,51,Craig David,pop
1RxlBxlaJpSEVnLk4Gtvym,2,Lyente,pop
7IWTIkiWGWNQyYfOLdMrGD,68,Martin Garrix,pop
67FPUOM5Q2sSvS3iqLxSFs,50,Dimitri Vangelis & Wyman,pop
0Qmqhtqco9ifi7ScZh1095,42,Steve Brian,pop
2Fxmhks0bxGSBdJ92vM42m,95,Billie Eilish,pop
0FC7eAz8CW9HAWnBr8Yo42,50,Fluex,pop
7LYMT7ZaJC6KaKaXod9qNq,21,Rob Tirea,pop
6fIgsZFtGXiIvxb2Y6oCc7,63,SLATIN,pop
47knrBbYhqtrggWYSkU6h1,56,Martin Garrix,pop
46x4SztssOJ1KzRjPqVUPk,2,Lvly,pop
0AKxkfd5NLlWMXCVgH6a6X,2,PULLER,pop
43ZeyBuql1TboyWE3ElHXj,49,CAZZETTE,pop
3EKKIR8be1kfAAwaz1fzyS,60,Tiësto,pop
4u6chQOq3h6g03cnPzAxcz,45,Dropgun,pop
5UaEBgRvUPFf5CEDhaTdp7,56,Galantis,pop
6wigvUlHft5QfkbxmAG5uC,41,Alicia Madison,pop
